epoch,loss,time,validation loss
0,3.3716167990860413e-07,15.107344388961792,0.0
1,1.1341873620840381e-11,14.828513145446777,0.0
2,1.8342436944318585e-11,14.904808282852173,0.0
3,1.6861135751500278e-11,14.95969009399414,1.9451046973623025e-14
4,3.213566565629655e-11,14.935025453567505,0.0
0,2.2690647938361508e-07,14.909820079803467,3.943421145180537e-09
1,3.096577302130754e-06,14.714651346206665,0.0
2,6.326387165245251e-07,14.869378566741943,0.0
3,3.2890224588300043e-07,14.80714464187622,0.0
4,5.231900104263332e-06,14.895880937576294,0.0
5,1.8651996924745617e-07,14.874107122421265,0.0
6,2.5709473447932396e-06,14.834081888198853,0.0
0,0.16620610654354095,15.104292869567871,0.0012995850993320346
1,0.03306451812386513,14.89818263053894,0.000736111484002322
0,0.14643381536006927,15.062105655670166,0.0001393955753883347
1,0.0012007580371573567,14.814164638519287,1.2287671324884286e-06
2,2.8663009288720787e-05,14.821603536605835,6.219410693120153e-07
3,1.4371715224115178e-05,14.837192296981812,2.851548970284057e-07
4,7.760841072013136e-06,14.886229753494263,8.656355277025796e-08
5,4.701806574303191e-06,14.845407485961914,4.4615021010940836e-08
6,3.552654106897535e-06,14.838695287704468,1.3288548039724901e-08
7,2.5308365820819745e-06,14.77948260307312,5.302887018387992e-09
8,2.186403435189277e-06,14.783999919891357,7.140958935281105e-09
9,1.9584258552640676e-06,14.854934930801392,3.84907794526157e-09
0,39.780364990234375,15.0139639377594,0.7908024191856384
1,34.670589447021484,15.11343502998352,0.7514250874519348
2,32.189414978027344,15.03928256034851,0.6580431461334229
3,29.31365394592285,15.015060186386108,0.7099237442016602
4,27.893699645996094,15.011037111282349,0.6625344753265381
5,29.36990737915039,15.11000394821167,0.6948434114456177
6,28.578222274780273,15.030320167541504,0.6650636196136475
7,27.901714324951172,15.130611658096313,0.6211416125297546
8,28.52050018310547,15.176095485687256,0.658717691898346
9,26.73310089111328,15.149041652679443,0.6865049600601196
0,39.67953979969025,15.084912776947021,0.708878755569458
1,32.13652628660202,14.916767358779907,0.6634621620178223
2,31.2871230840683,14.973512411117554,0.6295072436332703
3,28.713946759700775,14.984178304672241,0.624983012676239
0,0.9156944626985595,15.637687921524048,0.8056513667106628
1,0.7640386209931485,14.990816593170166,0.7656400203704834
2,0.7224850571432779,15.065948486328125,0.6864636540412903
3,0.6877555791721788,15.042642831802368,0.8378695845603943
4,0.67903335427129,15.085708856582642,0.7150788903236389
5,0.654738706211711,15.117974996566772,0.7837017178535461
6,0.6678241643794748,14.967451572418213,0.8344550728797913
7,0.6245605904002522,15.053478002548218,0.8035786151885986
8,0.6220894622248273,14.969836235046387,0.7758457660675049
9,0.5678712074146715,15.46250057220459,0.8381482362747192
10,0.5593516438506371,15.707175254821777,0.7921472787857056
11,0.5741788356803185,15.875099658966064,0.7853224873542786
12,0.545652472695639,15.527030944824219,0.8117965459823608
13,0.4950529530990955,15.226643800735474,0.7854253053665161
14,0.5102217038010441,15.211928606033325,0.8762141466140747
15,0.49741041175154754,15.325892448425293,0.8045287728309631
16,0.48153439510700313,15.311690092086792,0.8789682984352112
17,0.49374797316484675,15.356009721755981,0.8307088613510132
18,0.5593842233336249,15.59256911277771,0.806898832321167
19,0.4468557148478752,15.21700644493103,0.802559494972229
20,0.4194463789463043,15.420305490493774,0.7710345983505249
21,0.4969073568665704,15.354660511016846,0.8194106221199036
22,0.5380424968031949,15.40022325515747,0.8776760101318359
23,0.5221483256927756,15.235726594924927,0.7955646514892578
24,0.5505966315435809,15.24188780784607,0.8752415180206299
25,0.5184017995069193,15.098910570144653,0.7376387119293213
26,0.5761545189591342,15.300630331039429,0.7128838896751404
27,0.42965402991272683,15.295559167861938,0.7851901650428772
28,0.36904987692832947,15.241501808166504,0.8450658917427063
